Simulation 1 :
           Bot1    Bot2   
Winrate    100.0%  0.0%   
Score      24.1    6.7    
- - - - - - - - - - - - - - - - - - - -
Simulation 2 :
           Bot1    Bot2   
Winrate    100.0%  0.0%   
Score      28.3    7.1    
- - - - - - - - - - - - - - - - - - - -
Simulation 3 :
           Bot1    Bot2   
Winrate    100.0%  0.0%   
Score      29.7    7.6    
- - - - - - - - - - - - - - - - - - - -
Simulation 4 :
           Bot1    Bot2   
Winrate    100.0%  0.0%   
Score      25.3    6.6    
- - - - - - - - - - - - - - - - - - - -
